Repeticion,Tiempo_us
1,    85244 
2,    95548 
3,    95478 
4,    88561 
5,    96322 
6,    96009 
7,    99301 
8,   103637 
9,   123744 
10,   135723 
11,    89828 
12,    95340 
13,    74811 
14,    82978 
15,    79758 
16,    79346 
17,    79875 
18,    80751 
19,    83127 
20,    88133 
21,    77200 
22,    79760 
23,    83658 
24,    77185 
25,    78367 
26,    78378 
27,    94144 
28,   103497 
29,    78613 
30,    82945 
