Repeticion,Tiempo_us
1,    10235 
2,    22459 
3,    14051 
4,    18884 
5,    14043 
6,    24597 
7,    15958 
8,    20830 
9,    11534 
10,    17663 
11,     9498 
12,    19482 
13,    10680 
14,     8401 
15,    15511 
16,    10760 
17,    21608 
18,    17985 
19,    11621 
20,    21157 
21,     9699 
22,    21857 
23,    14722 
24,    19285 
25,    13459 
26,    18862 
27,    11050 
28,    20686 
29,    11418 
30,    21715 
