Repeticion,Tiempo_us
1,   544493 
2,   530689 
3,   530723 
4,   517187 
5,   572935 
6,   551501 
7,   519896 
8,   558722 
9,   536838 
10,   513527 
11,   521174 
12,   516101 
13,   528673 
14,   543595 
15,   530289 
16,   555899 
17,   533010 
18,   538364 
19,   657670 
20,   516850 
21,   511275 
22,   518359 
23,   565978 
24,   568175 
25,   529476 
26,   519660 
27,   536423 
28,   503841 
29,   557861 
30,   532959 
