Repeticion,Tiempo_us
1,   181643 
2,   146025 
3,   140986 
4,   124406 
5,   123379 
6,   120021 
7,   118784 
8,   121621 
9,   120620 
10,   131273 
11,   167918 
12,   138948 
13,   134011 
14,   142126 
15,   134707 
16,   148186 
17,   142332 
18,   115520 
19,   124188 
20,   126338 
21,   133909 
22,   113638 
23,   131625 
24,   115699 
25,   124072 
26,   143423 
27,   112914 
28,   138942 
29,   132862 
30,   115739 
