Repeticion,Tiempo_us
1,   107932 
2,    89379 
3,    96643 
4,   101195 
5,    86878 
6,    95166 
7,   115149 
8,   103622 
9,   101365 
10,    92703 
11,    96404 
12,   102978 
13,    97928 
14,    95162 
15,   113108 
16,   114239 
17,   111704 
18,   108181 
19,    98126 
20,   114248 
21,   132352 
22,   100640 
23,   129181 
24,   139772 
25,   150042 
26,   112664 
27,    98536 
28,    93509 
29,    81097 
30,   106208 
