Repeticion,Tiempo_us
1,   562462 
2,   497135 
3,   494830 
4,   608971 
5,   496907 
6,   495070 
7,   496329 
8,   539302 
9,   527090 
10,   525130 
11,   540197 
12,   618088 
13,   739486 
14,   543920 
15,   513503 
16,   531120 
17,   527330 
18,   509818 
19,   607154 
20,   561458 
21,   557250 
22,   605062 
23,   580441 
24,   524654 
25,   550329 
26,   533301 
27,   790758 
28,   579695 
29,   543303 
30,   560808 
