Repeticion,Tiempo_us
1,    12660 
2,    12175 
3,    17362 
4,    16116 
5,    13360 
6,    13745 
7,    15509 
8,    18790 
9,    14923 
10,    20203 
11,    19440 
12,    12842 
13,    21886 
14,    13319 
15,    14924 
16,    21118 
17,    11441 
18,    22284 
19,    11597 
20,    13373 
21,    17409 
22,    12337 
23,    18951 
24,    13875 
25,    12468 
26,    16999 
27,    16901 
28,    14587 
29,    10183 
30,    14519 
