Repeticion,Tiempo_us
1,  1144698 
2,   931325 
3,   941729 
4,   948151 
5,   921827 
6,   925216 
7,   971227 
8,   912376 
9,  1003820 
10,  1005092 
11,   986418 
12,   931388 
13,   946476 
14,  1014047 
15,   934400 
16,   984248 
17,   966674 
18,   919965 
19,   945557 
20,  1279854 
21,   902613 
22,  1160985 
23,  1168364 
24,   996970 
25,   946190 
26,   957412 
27,   920961 
28,   931627 
29,   950150 
30,   990890 
