Repeticion,Tiempo_us
1,    40522 
2,    26972 
3,    38702 
4,    29545 
5,    28869 
6,    30671 
7,    33306 
8,    27627 
9,    25525 
10,    26922 
11,    25839 
12,    25772 
13,    24372 
14,    32776 
15,    28930 
16,    28450 
17,    41251 
18,    28501 
19,    32385 
20,    27470 
21,    33727 
22,    28903 
23,    24742 
24,    25347 
25,    29331 
26,    27088 
27,    30809 
28,    30943 
29,    27340 
30,    36709 
