Repeticion,Tiempo_us
1,    14322 
2,    15884 
3,    19625 
4,    25065 
5,    31901 
6,    13071 
7,    16477 
8,    14315 
9,    24511 
10,    21424 
11,    18928 
12,    13630 
13,    20034 
14,    19275 
15,    19204 
16,    19399 
17,    22647 
18,    16713 
19,    14671 
20,    26788 
21,    25363 
22,    17769 
23,    23182 
24,    17895 
25,    19318 
26,    27190 
27,    13693 
28,    22173 
29,    26656 
30,    18692 
