Repeticion,Tiempo_us
1,   238277 
2,   227971 
3,   235712 
4,   243524 
5,   217935 
6,   232829 
7,   224760 
8,   233290 
9,   233045 
10,   231891 
11,   220446 
12,   230962 
13,   230601 
14,   222742 
15,   221281 
16,   307002 
17,   251220 
18,   235613 
19,   235207 
20,   225990 
21,   223033 
22,   227355 
23,   231683 
24,   241644 
25,   239379 
26,   240558 
27,   229779 
28,   231328 
29,   224309 
30,   243379 
